NUM_TURNO;DESCRICAO_CARGO;NOME_CANDIDATO;SEQUENCIAL_CANDIDATO;NUMERO_CANDIDATO;DES_SITUACAO_CANDIDATURA;NUMERO_PARTIDO;SIGLA_PARTIDO;NOME_PARTIDO;DESCRICAO_OCUPACAO;DATA_NASCIMENTO;DESCRICAO_SEXO;DESCRICAO_GRAU_INSTRUCAO;DESC_SIT_TOT_TURNO
1;PREFEITO;BRUNO CESAR DESCHAMPS MEIRINHO;12170;50;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;OUTROS;10/05/1982;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;PREFEITO;CARLOS ALBERTO RICHA;2708;45;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;ENGENHEIRO;29/07/1965;MASCULINO;SUPERIOR COMPLETO;ELEITO
1;PREFEITO;CARLOS AUGUSTO MOREIRA JUNIOR;28641;15;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;MÉDICO;30/12/1958;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;PREFEITO;FABIO DE SOUZA CAMARGO;32286;14;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;DEPUTADO;17/04/1973;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;PREFEITO;GLEISI HELENA HOFFMANN;840;13;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;ADVOGADO;06/09/1965;FEMININO;SUPERIOR COMPLETO;NÃO ELEITO
1;PREFEITO;LAURO ANTONIO FERNANDES RODRIGUES;33248;70;DEFERIDO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;EMPRESÁRIO;23/04/1968;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;PREFEITO;MAURICIO PAULO SILVA FURTADO;7585;43;DEFERIDO;43;PV;PARTIDO VERDE;SERVIDOR PÚBLICO FEDERAL;25/01/1949;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;PREFEITO;RICARDO CRACHINESKI GOMYDE;30480;65;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;OCUPANTE DE CARGO EM COMISSÃO;22/05/1970;MASCULINO;SUPERIOR INCOMPLETO;NÃO ELEITO
1;VICE-PREFEITO;ANTONIO BORGES DOS REIS;841;13;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;ENGENHEIRO;21/04/1958;MASCULINO;SUPERIOR COMPLETO;#NULO#
1;VICE-PREFEITO;CLEITON KIELSE BORDINI CRISOSTOMO;28642;15;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;ADVOGADO;08/05/1967;MASCULINO;SUPERIOR COMPLETO;#NULO#
